02_vazov_000|Одата „Бенковски“ от цикъла „Епопея на забравените“ на Иван Вазов.
02_vazov_001|Този запис е за LibriVox и е обществено достояние.
02_vazov_002|Бенковски
02_vazov_003|Планината пуста.
02_vazov_004|Дивота и сън е.
02_vazov_005|Вред пространства голи, бърда, урви, трънье;
02_vazov_006|в пустинята влада някой гробен дух.
02_vazov_007|Небосводът гледа уплашен и глух.
02_vazov_008|Лесовете черни, накрай кръгозорът мяркат се, тъмнеят.
02_vazov_009|Надалеч в просторът орел един плува, бавно се върти над някоя мърша, що му дъх прати;
02_vazov_010|по скалите зеят страшни пукнатини; затулени с храсти — легла на гадини;
02_vazov_011|сипеи безродни, плешиви бърда, стръмнини без дръвье, реки без вода
02_vazov_012|душата измъчват и плашат окото.
02_vazov_013|Из един там глух дол, обрасъл с глогина, сега върви тихо някаква дружина.
02_vazov_014|Вождът е Бенковски! Бенковски е сам!
02_vazov_015|Бенковски я води в пустинята там;
02_vazov_016|героят, юнакът с мисъл на челото, на подвига знаме, душа на делото,
02_vazov_017|човекът, що даде фаталния знак
02_vazov_018|и цял народ смело тикна с своя крак
02_vazov_019|желязната вволя, железните сили, могъщото слово, що слабий окрили,
02_vazov_020|гласът, който каза: „Вървете! Да мрем!
02_vazov_021|Ставайте, робове! Аз не щъ ярем!“
02_vazov_022|И ние трептяхме пред тоя глас мощен, пред тоя демон таен, призрак полунощен, който произнесе страшните слова…
02_vazov_023|Той сега вървеше с клюмнала глава.
02_vazov_024|Другарите му верни, разбити и пршни, мязаха на мощи и на сенки страшни,
02_vazov_025|седемдесет бяха, четирма са днес.
02_vazov_026|Другите паднаха: едни в боя с чест,
02_vazov_027|други в плен срамотен, други пък бегаха, от тяхната участ кат се убояха.
02_vazov_028|Тъжно те вървяха в заглъхналий мир по пясъка ситни, из дивния шир,
02_vazov_029|с пушки без патрони, и скрака без сила;
02_vazov_030|всяка кост се клати, боли всяка жила;
02_vazov_031|подвигът е труден, пътят е свиреп.
02_vazov_032|Петнадесет дена без отдих, без хлеб
02_vazov_033|скитат се в горите, борят се с тиранът, с пекът, с дъждовете
02_vazov_034|и с треви се хранат,
02_vazov_035|често мисъл мрачна дохожда им тям.
02_vazov_036|Но бълзо изчезва; Бенковски е там.
02_vazov_037|Бенковски ги пази мълчалив и страшен;
02_vazov_038|в бедите поддръжка и пример всегдашен;
02_vazov_039|тоя държи, не охка,
02_vazov_040|тоя е само блед,
02_vazov_041|от време на време издумва напред.
02_vazov_042|и гледа на изток, и води ги дмело,
02_vazov_043|и бурно се бърчи бледното му чело.
02_vazov_044|В глава му се блъскат мисли цял пояк
02_vazov_045|и кроежи тъмни, и лучи, имрак,
02_vazov_046|и ярост отровна кипи му в гърдите за толкоз нещастья, надежди разбити,
02_vazov_047|за толкова жъртви и вяра, и труд,
02_vazov_048|отишли на вятър под натиска лют!
02_vazov_049|И бунтът пред него като облак чуден
02_vazov_050|фърчи кат от някой ураган прокуден.
02_vazov_051|Накъде отиват?…
02_vazov_052|Изведнъж гръм раздаде се от ближния хлъм.
02_vazov_053|Кат снопове падат трима другари.
02_vazov_054|Кръв димеща, топла пясъка прошари.
02_vazov_055|Пушекът се пръсна и гръмът мина, кат напълни с екот цяла планина.
02_vazov_056|Потерята скокна от свойта пусия и шумно изкряска — смелост уловия:
02_vazov_057|Ття видя един прав и то кървав, сам!
02_vazov_058|Двайсет пушки мерят изново насам, готови куршуми и огън да храчат.
02_vazov_059|„Предай се, разбойник!“ — извика водачът,
02_vazov_060|и сганта внезапно загради отвръст сетний неприятел със жажда за мъст,
02_vazov_061|със радост свирепа, с увереност дива, че веч държи здраво плячката си жива.
02_vazov_062|Тогава ранений прав,
02_vazov_063|трепетен, див,
02_vazov_064|с поглед безнадежден, почти горделив,
02_vazov_065|с пет рани в снагата, при прагът на гроба,
02_vazov_066|кат не щя да падне, както падна роба,
02_vazov_067|гръмна се вчелото и сред гъстий дим падна мъртъв, хладен и непобедим!
02_vazov_068|И Хаджи Люзгяр бей, главатарят стари, пристъпи зачуден с хищни си другари към таз жъртва силна, към тоз горд юнак,
02_vazov_069|който му избегна с такъв славен бяг,
02_vazov_070|погледна чело му, с топла кръв покрито,
02_vazov_071|и очи му страшни, вперени сърдито,
02_vazov_072|и ръка му, взела револвера с мощ, като че се готви зарад битка йощ,
02_vazov_073|и уста му бледни, открити към свода като че ще винат: смърт или свобода!
02_vazov_074|И усети почит и трепет, и студ,
02_vazov_075|и викна уплашен: „Кой е тоя луд!“
02_vazov_076|Но всички мълчаха.
02_vazov_077|Тогаз от земята един труп пошавна, отвори устата,
02_vazov_078|пробуден от сила тайна, непозната,
02_vazov_079|и с глас издихающ, кат ръка простря,
02_vazov_080|„Бенковски!“ продума и тихо умря.
02_vazov_081|Край на одата „Бенковски“.
