06_vazov_000|Одата „Паисий“ от цикъла „Епопея на забравените“ на Иван Вазов.
06_vazov_001|Този запис е за LibriVox и е обществено достояние.
06_vazov_002|Паисий
06_vazov_003|О, неразумни юроде!
06_vazov_004|Поради что се срамиш да се наречиш Болгарин?…
06_vazov_005|Или не са имали Болгаре царство и господарство?
06_vazov_006|Ти, Болгарино, не прелщайся,
06_vazov_007|знай свой род и язик…
06_vazov_008|Паисий 1762
06_vazov_009|Сто и двайсет годин… Тъмнини дълбоки!
06_vazov_010|Тамо вдън горите атонски високи, убежища скрити от лъжовний мир,
06_vazov_011|место за молитва, за отдих и мир,
06_vazov_012|де се чува само ревът беломорски или вечний шепот на шумите горски,
06_vazov_013|ил на звона тежкий набожнийят звън,
06_vazov_014|във скромна килийка, потънала в сън, един монах тъмен, непознат и бледен пред лампа жумеща пишеше наведен.
06_vazov_015|Що драскаше той там умислен, един?
06_vazov_016|Житие ли ново, нов ли дамаскин,
06_vazov_017|зафанат от дълго, прекъсван, оставян
06_vazov_018|и пред кандилото сред нощ пак залавян?
06_vazov_019|Поличби ли божи записваше там?
06_vazov_020|Слова ли духовни измисляше сам за във чест на някой славен чудотворец, египтянин, елин или светогорец?
06_vazov_021|Що се той мореше с тоя дълъг труд?
06_vazov_022|Ил бе философ?
06_vazov_023|Или беше луд?
06_vazov_024|Или туй канон бе тежък и безумен, наложен на него от строгий игумен?
06_vazov_025|Най-после отдъхна и рече: „Конец!
06_vazov_026|На житие ново аз турих венец.“
06_vazov_027|И той фърли поглед любовен, приветен към тоз труд довършен, подвиг многолетен,
06_vazov_028|на волята рожба, на бденьето плод,
06_vazov_029|погълнал безшумно полвина живот —
06_vazov_030|житие велико!
06_vazov_031|Заради което той забрави всичко, дори и небето!
06_vazov_032|Нивга майка нежна първенеца свой тъй не е гледала, ни младий герой първите си лаври, ни поетът мрачен своят идеал нов,
06_vazov_033|чуден светлозрачен! и кат някой древен библейски пророк
06_vazov_034|ил на Патмос дивний пестинника строг,
06_vazov_035|кога разкривал е въз гладката кожа тайните на мрака и волята божа,
06_vazov_036|той фърли очи си разтреперан, бляд
06_vazov_037|към хаоса тъмний, към звездния свят,
06_vazov_038|към Бялото море, заспало дълбоко,
06_vazov_039|и вдигна тез листи, и викна високо:
06_vazov_040|„От днеска нататък българският род
06_vazov_041|история има и става народ!
06_vazov_042|Нека той познае от мойто писанье, че голям е той бил и пак ще да стане,
06_vazov_043|че от славний Будин до светий Атон
06_vazov_044|бил е припознаван нашият закон.
06_vazov_045|Нека всякой брат наш да чете, да помни,
06_vazov_046|че гърците са люде хитри, вероломни,
06_vazov_047|че сме ги блъскали, и не един път —
06_vazov_048|и затуй не можат нази търпят —
06_vazov_049|и че сме имали царства и столици,
06_vazov_050|и от нашта рода светци и патрици;
06_vazov_051|че и ний сме дали нещо на светът
06_vazov_052|и на вси Словене книга да четът;
06_vazov_053|и кога му викат:
06_vazov_054|„Българину!“ бесно,
06_vazov_055|той да се гордее с това име честно.
06_vazov_056|Нека наш брат знае, че бог е велик
06_vazov_057|и че той разбира българский язик,
06_vazov_058|че е срам за всякой, който се отрича от своя си рода и при гърци тича
06_vazov_059|и своето име и божия дар
06_vazov_060|зафърля безумно като един твар.
06_vazov_061|Горко вам, безумни, овци заблудени,
06_vazov_062|със гръцка отрова, що сте напоени,
06_vazov_063|дето се срамите от вашия брат и търсите пища в гръцкия разврат,
06_vazov_064|и ругайте грешно бакини си кости,
06_vazov_065|и нашите нрави, че те били прости!
06_vazov_066|Та не вашто племе срам нанася вам, о, безумни люде, а вий сте му срам!
06_vazov_067|Четете да знайте, що в стари години по тез земи славни вършили деди ни,
06_vazov_068|как със много кралства имали са бран и от царе силни вземали са дан, и била велика българската държава;
06_vazov_069|как свети Борис се покръстил в Преслава,
06_vazov_070|как е цар Асен тук храмове градил
06_vazov_071|и дарове пращал; кой бе Самуил, дето си изгуби душата във ада,
06_vazov_072|покори Дурацо и влезе в Елада;
06_vazov_073|четете и знайте кой бе цар Шишман
06_vazov_074|и как нашто царство сториха го плян;
06_vazov_075|кой би Иван Рилски, чийто свети мощи чудеса се славят до тоя ден йоще;
06_vazov_076|как се Крум преславний с Никифора би
06_vazov_077|и из черепа му руйно вино пи
06_vazov_078|и как Симеон цар угрите прогони
06_vazov_079|и от Византия приема поклони.
06_vazov_080|А тоя беше учен, философ велик
06_vazov_081|и не се срамеше от своя език
06_vazov_082|и кога нямаше кого да надвива, той пишеше книги, за да си почива.
06_vazov_083|Четете и знайте, що съм аз писал, от много сказанья и книги събрал,
06_vazov_084|четете, о, братя, да ви се не смеят и вам чужденците да не се гордеят…
06_vazov_085|На ви мойта книга, тя е вам завет,
06_vazov_086|нека де преписва и множи безчет
06_vazov_087|и пръска по всички поля и долини,
06_vazov_088|де българин страда, въздиша и гине.
06_vazov_089|Тя е откровенье, божа благодат —
06_vazov_090|младий прави мъдър, а стария — млад,
06_vazov_091|който я прочита няма да се кае,
06_vazov_092|който знае нея, много ще да знае.“
06_vazov_093|Тъй мълвеше тоз мъж, в килията скрит,
06_vazov_094|със поглед умислен, в бъдещето впит,
06_vazov_095|който много бденья, утринни пропусна,
06_vazov_096|но пачето перо нивга не изпусна
06_vazov_097|и против канонът и черковний звън —
06_vazov_098|работи без отдих, почивка и сън.
06_vazov_099|Тъй мълвеше преди сто и двайсет годин тоз див Светогорец — за рая негоден,
06_vazov_100|и фърляше тайно през мрака тогаз най-първата искра в народната свяст.
06_vazov_101|Край на одата „Паисий“.
