11_vazov_000|Одата „Волов“ от цикъла „Епопея на забравените“ на Иван Вазов.
11_vazov_001|Този запис е за LibriVox и е обществено достояние.
11_vazov_002|Волов
11_vazov_003|Те бягаха бледни пред дивата сган.
11_vazov_004|И Волов, юнакът, цял в кърви облян, извика:
11_vazov_005|„О, боже! О, адска измама!
11_vazov_006|подвигът пропадна и надежда няма!
11_vazov_007|къде да се скрием от безславната смрът?“
11_vazov_008|Балканът
11_vazov_009|Аз нямам за вази ни завет, ни път.
11_vazov_010|Градът
11_vazov_011|Аз имам бесила.
11_vazov_012|Хижата
11_vazov_013|Аз имам проклятья.
11_vazov_014|Янтра
11_vazov_015|Елате, нещастни, във мойте обятия!
11_vazov_016|Пловдив, ноември 1883.
11_vazov_017|Край на одата „Волов“.
